Incident ID,Date,Site,Country,Incident Type,Severity,Shift,Response Time (min),Badge Access,CCTV Alert,Visitor,Outcome
INC00090,2025-04-03,Singapore,Singapore,Emergency Exit Misuse,High,Night,10,Yes,Yes,No,Under Investigation
INC00091,2025-02-17,Sydney,Australia,Door Forced Open,Critical,Night,11,Yes,Yes,Yes,Confirmed
INC00092,2026-01-27,Austin,USA,Door Forced Open,High,Day,13,No,Yes,No,Confirmed
INC00093,2025-01-10,Sydney,Australia,Emergency Exit Misuse,High,Evening,16,Yes,Yes,Yes,Under Investigation
INC00094,2026-04-13,Dublin,Ireland,Emergency Exit Misuse,High,Evening,8,No,Yes,No,Confirmed
INC00095,2025-10-30,Singapore,Singapore,Visitor Policy Violation,Medium,Evening,21,Yes,Yes,No,Resolved
INC00096,2025-10-21,Bangalore,India,Suspicious Package,High,Night,13,No,Yes,No,Confirmed
INC00097,2025-05-21,Singapore,Singapore,Suspicious Package,High,Evening,4,No,Yes,No,Confirmed
INC00098,2026-03-02,Austin,USA,Unauthorized Access,High,Day,4,Yes,Yes,No,Under Investigation
INC00099,2026-05-09,Dublin,Ireland,Door Forced Open,Critical,Night,16,No,No,No,Confirmed
INC00100,2026-01-10,Singapore,Singapore,Emergency Exit Misuse,High,Night,11,Yes,Yes,No,Confirmed
INC00101,2026-01-16,Tokyo,Japan,Emergency Exit Misuse,High,Evening,14,Yes,No,No,Under Investigation
INC00102,2026-04-21,Singapore,Singapore,Emergency Exit Misuse,Medium,Evening,14,No,Yes,No,Confirmed
INC00103,2025-08-29,Bangalore,India,Suspicious Person,High,Day,14,Yes,Yes,No,Under Investigation
INC00104,2025-04-12,Berlin,Germany,Suspicious Package,Critical,Night,10,No,Yes,No,Confirmed
INC00105,2025-08-30,Tokyo,Japan,Lost Badge,Medium,Day,13,No,Yes,No,Confirmed
INC00106,2026-04-11,Berlin,Germany,Suspicious Person,Medium,Night,10,Yes,Yes,No,Under Investigation
INC00107,2025-07-30,Bangalore,India,Badge Misuse,Medium,Night,19,Yes,Yes,No,Confirmed
INC00108,2025-05-29,Austin,USA,Suspicious Package,Critical,Day,15,N/A,Yes,No,Confirmed
INC00109,2025-09-01,Bangalore,India,Door Forced Open,High,Day,11,Yes,Yes,No,Confirmed
INC00110,2026-06-10,London,UK,CCTV False Alarm,Low,Night,11,Yes,Yes,Yes,False Alarm
INC00111,2025-02-01,Bangalore,India,Emergency Exit Misuse,High,Evening,17,Yes,Yes,No,Under Investigation
INC00112,2025-03-09,London,UK,Unauthorized Access,High,Evening,14,Yes,Yes,No,Resolved
INC00113,2026-03-17,Berlin,Germany,Suspicious Package,High,Evening,18,No,Yes,No,Resolved
INC00114,2026-02-28,Singapore,Singapore,Visitor Policy Violation,Medium,Night,16,Yes,Yes,No,Confirmed
INC00115,2025-06-06,Berlin,Germany,Badge Misuse,High,Day,9,Yes,Yes,No,Resolved
INC00116,2025-12-04,Tokyo,Japan,Door Forced Open,High,Evening,6,No,Yes,No,Under Investigation
INC00117,2025-12-27,Berlin,Germany,Tailgating,High,Evening,16,Yes,Yes,No,Confirmed
INC00118,2026-03-16,Tokyo,Japan,Unauthorized Access,High,Evening,15,No,No,No,Resolved
INC00119,2025-10-07,Bangalore,India,Suspicious Package,High,Day,10,Yes,Yes,No,Confirmed
INC00120,2025-02-01,Berlin,Germany,Unauthorized Access,Medium,Night,7,Yes,Yes,No,Confirmed
INC00121,2025-03-28,Austin,USA,Badge Misuse,High,Night,14,No,Yes,Yes,Confirmed
INC00122,2025-08-09,Berlin,Germany,CCTV False Alarm,Low,Day,10,No,Yes,No,False Alarm
INC00123,2025-11-12,Dublin,Ireland,Emergency Exit Misuse,High,Evening,16,Yes,Yes,No,Confirmed
INC00124,2025-01-08,Austin,USA,Suspicious Person,High,Day,13,Yes,Yes,Yes,Confirmed
INC00125,2025-02-13,Singapore,Singapore,CCTV Offline,Medium,Day,6,Yes,Yes,No,Confirmed
INC00126,2025-11-29,Berlin,Germany,Suspicious Person,Medium,Day,14,Yes,No,No,Resolved
INC00127,2025-09-07,Tokyo,Japan,Unauthorized Access,High,Night,7,Yes,No,No,Confirmed
INC00128,2025-07-18,Austin,USA,Unauthorized Access,Medium,Evening,13,No,Yes,No,Resolved
INC00129,2025-07-22,Austin,USA,Lost Badge,Low,Day,13,No,Yes,No,Resolved
INC00130,2025-11-27,Sydney,Australia,Suspicious Package,High,Evening,14,No,Yes,Yes,Confirmed
INC00131,2025-02-27,Sydney,Australia,Emergency Exit Misuse,High,Night,10,Yes,Yes,No,Confirmed
INC00132,2025-02-12,London,UK,Suspicious Package,High,Evening,13,Yes,No,No,Confirmed
INC00133,2026-04-07,Sydney,Australia,CCTV Offline,Medium,Night,20,Yes,Yes,No,Confirmed
INC00134,2025-06-12,Singapore,Singapore,CCTV False Alarm,Low,Evening,18,Yes,No,No,False Alarm
INC00135,2025-12-09,Tokyo,Japan,Emergency Exit Misuse,Medium,Night,14,No,Yes,No,Resolved
INC00136,2025-05-25,Austin,USA,Badge Misuse,Medium,Evening,12,No,Yes,No,Resolved
INC00137,2026-01-21,Austin,USA,Suspicious Package,Critical,Day,9,Yes,Yes,No,Under Investigation
INC00138,2025-01-19,London,UK,Emergency Exit Misuse,High,Evening,8,Yes,Yes,Yes,Under Investigation
INC00139,2025-06-08,Sydney,Australia,Lost Badge,Low,Night,20,Yes,Yes,No,Under Investigation
INC00140,2025-05-15,Bangalore,India,Emergency Exit Misuse,High,Night,16,Yes,Yes,Yes,Resolved
INC00141,2025-09-01,Austin,USA,CCTV False Alarm,Low,Day,18,No,Yes,Yes,False Alarm
INC00142,2025-07-18,Singapore,Singapore,Suspicious Person,High,Night,10,Yes,No,No,Confirmed
INC00143,2025-07-24,Dublin,Ireland,Visitor Policy Violation,Medium,Night,12,Yes,Yes,No,Confirmed
INC00144,2025-06-14,London,UK,CCTV Offline,Medium,Day,9,Yes,No,Yes,Confirmed
INC00145,2026-03-01,Singapore,Singapore,CCTV False Alarm,Low,Night,17,Yes,No,No,False Alarm
INC00146,2025-12-10,Bangalore,India,Badge Misuse,Medium,Night,13,No,Yes,No,Resolved
INC00147,2025-03-23,Austin,USA,CCTV False Alarm,Low,Evening,15,Yes,No,No,False Alarm
INC00148,2025-05-05,Berlin,Germany,Unauthorized Access,High,Day,12,Yes,Yes,No,Confirmed
INC00149,2025-09-05,London,UK,CCTV False Alarm,Low,Evening,11,Yes,Yes,No,False Alarm
INC00150,2026-01-05,Austin,USA,Emergency Exit Misuse,Medium,Evening,7,Yes,Yes,No,Under Investigation
INC00151,2026-02-01,Bangalore,India,Visitor Policy Violation,Medium,Day,15,Yes,Yes,No,Resolved
INC00152,2025-12-27,London,UK,Suspicious Package,High,Day,11,Yes,No,Yes,Resolved
INC00153,2025-03-06,Sydney,Australia,CCTV False Alarm,Low,Night,9,Yes,Yes,No,False Alarm
INC00154,2026-04-30,Bangalore,India,Badge Misuse,High,Evening,2,Yes,Yes,Yes,Confirmed
INC00155,2026-01-12,Bangalore,India,Emergency Exit Misuse,High,Day,7,Yes,No,No,Confirmed
INC00156,2026-03-11,Sydney,Australia,Badge Misuse,High,Night,13,Yes,Yes,No,Confirmed
INC00157,2025-10-30,Tokyo,Japan,Unauthorized Access,Medium,Day,9,Yes,Yes,No,Confirmed
INC00158,2025-02-28,Tokyo,Japan,Suspicious Package,High,Day,18,Yes,Yes,No,Resolved
INC00159,2026-03-25,Austin,USA,Tailgating,Medium,Night,13,No,Yes,No,Confirmed
INC00160,2026-01-16,Austin,USA,Emergency Exit Misuse,High,Night,12,Yes,Yes,Yes,Confirmed
INC00161,2025-04-27,Tokyo,Japan,Emergency Exit Misuse,High,Day,15,Yes,No,Yes,Resolved
INC00162,2026-05-18,Sydney,Australia,Lost Badge,Medium,Evening,12,Yes,Yes,Yes,Confirmed
INC00163,2025-03-08,Sydney,Australia,Unauthorized Access,High,Evening,8,Yes,Yes,No,Resolved
INC00164,2025-07-25,Austin,USA,Badge Misuse,Medium,Day,10,No,Yes,No,Confirmed
INC00165,2025-03-30,Tokyo,Japan,CCTV False Alarm,Low,Evening,16,No,Yes,No,False Alarm
INC00166,2025-11-21,Berlin,Germany,Suspicious Package,Critical,Day,14,No,Yes,No,Confirmed
INC00167,2025-02-26,Austin,USA,Door Forced Open,Critical,Evening,14,Yes,Yes,No,Confirmed
INC00168,2025-10-09,Dublin,Ireland,Unauthorized Access,High,Day,6,Yes,Yes,No,Confirmed
INC00169,2025-12-12,Austin,USA,Suspicious Package,Critical,Day,15,No,Yes,Yes,Confirmed
INC00170,2026-03-03,Dublin,Ireland,Emergency Exit Misuse,Medium,Night,6,No,Yes,No,Confirmed
INC00171,2026-02-20,Dublin,Ireland,CCTV False Alarm,Low,Night,11,Yes,Yes,No,False Alarm
INC00172,2025-11-23,Singapore,Singapore,Badge Misuse,Medium,Day,13,No,No,No,Confirmed
INC00173,2026-04-23,Tokyo,Japan,CCTV Offline,Medium,Day,15,Yes,Yes,No,Under Investigation
INC00174,2025-11-17,Berlin,Germany,Lost Badge,Low,Night,15,Yes,Yes,No,Confirmed
INC00175,2026-02-07,Dublin,Ireland,CCTV False Alarm,Low,Day,2,Yes,Yes,Yes,False Alarm
INC00176,2025-01-09,Sydney,Australia,Suspicious Package,High,Day,11,No,Yes,No,Resolved
INC00177,2025-07-19,Berlin,Germany,Badge Misuse,Medium,Day,9,Yes,Yes,No,Resolved
INC00178,2025-12-14,London,UK,Door Forced Open,High,Day,15,Yes,Yes,Yes,Resolved
INC00179,2025-05-21,Berlin,Germany,CCTV Offline,Medium,Day,9,Yes,Yes,No,Confirmed
INC00180,2025-11-03,Tokyo,Japan,Door Forced Open,Critical,Night,3,Yes,Yes,No,Confirmed
INC00181,2025-04-23,Dublin,Ireland,CCTV False Alarm,Low,Day,18,No,Yes,No,False Alarm
INC00182,2025-08-22,Bangalore,India,Suspicious Package,High,Day,11,No,Yes,Yes,Resolved
INC00183,2025-04-23,Berlin,Germany,Door Forced Open,High,Day,13,Yes,Yes,Yes,Confirmed
INC00184,2025-11-29,Sydney,Australia,Tailgating,Medium,Evening,17,N/A,Yes,No,Under Investigation
INC00185,2025-09-28,Sydney,Australia,CCTV Offline,Medium,Evening,9,Yes,Yes,Yes,Under Investigation
INC00186,2026-05-16,Dublin,Ireland,Suspicious Person,Medium,Evening,9,Yes,Yes,No,Resolved
INC00187,2026-01-24,Dublin,Ireland,Suspicious Person,Medium,Evening,15,Yes,Yes,Yes,Confirmed
INC00188,2026-05-06,London,UK,Badge Misuse,High,Evening,8,Yes,No,No,Confirmed
INC00189,2025-09-03,Dublin,Ireland,Door Forced Open,High,Evening,12,Yes,Yes,Yes,Confirmed
INC00190,2025-06-11,Sydney,Australia,Unauthorized Access,Medium,Day,19,Yes,No,No,Confirmed
INC00191,2025-03-02,Singapore,Singapore,Suspicious Person,High,Day,13,Yes,Yes,No,Under Investigation
INC00192,2025-02-07,Austin,USA,Visitor Policy Violation,Low,Night,10,N/A,Yes,No,Under Investigation
INC00193,2025-04-20,Dublin,Ireland,Tailgating,Medium,Day,16,Yes,Yes,No,Under Investigation
INC00194,2025-04-26,Austin,USA,CCTV Offline,Medium,Day,10,Yes,Yes,No,Resolved
INC00195,2025-07-17,Bangalore,India,Badge Misuse,High,Evening,16,No,No,No,Confirmed
INC00196,2025-09-12,London,UK,Door Forced Open,High,Evening,20,Yes,Yes,No,Confirmed
INC00197,2026-01-04,Tokyo,Japan,Suspicious Person,Medium,Day,11,Yes,Yes,No,Confirmed
INC00198,2025-08-15,Dublin,Ireland,Unauthorized Access,High,Day,10,Yes,Yes,Yes,Resolved
INC00199,2025-08-12,Tokyo,Japan,Visitor Policy Violation,Medium,Night,12,Yes,Yes,No,Confirmed
INC00200,2026-06-02,Tokyo,Japan,Unauthorized Access,Medium,Day,4,Yes,Yes,Yes,Under Investigation
INC00201,2026-05-16,Sydney,Australia,Unauthorized Access,Medium,Night,17,No,Yes,No,Confirmed
INC00202,2025-11-12,Bangalore,India,CCTV Offline,Medium,Evening,15,No,Yes,No,Resolved
INC00203,2025-03-07,London,UK,Tailgating,High,Day,10,No,No,No,Confirmed
INC00204,2026-01-27,Austin,USA,Door Forced Open,Critical,Day,11,Yes,No,No,Confirmed
INC00205,2026-02-07,Austin,USA,Emergency Exit Misuse,High,Day,4,Yes,Yes,Yes,Confirmed
INC00206,2025-09-11,Berlin,Germany,CCTV Offline,Medium,Night,10,Yes,Yes,Yes,Under Investigation
INC00207,2025-01-17,London,UK,Tailgating,High,Evening,12,Yes,Yes,No,Under Investigation
INC00208,2025-08-11,Singapore,Singapore,Tailgating,High,Day,13,No,Yes,Yes,Under Investigation
INC00209,2025-11-25,Singapore,Singapore,Suspicious Package,High,Evening,12,N/A,Yes,No,Confirmed
INC00210,2025-02-18,Austin,USA,Emergency Exit Misuse,High,Evening,22,N/A,No,No,Resolved
INC00211,2026-01-21,Tokyo,Japan,Visitor Policy Violation,Medium,Day,14,Yes,Yes,No,Confirmed
INC00212,2026-06-27,Sydney,Australia,Tailgating,High,Night,17,Yes,Yes,Yes,Resolved
INC00213,2025-07-15,Sydney,Australia,Badge Misuse,Medium,Evening,16,No,Yes,Yes,Resolved
INC00214,2025-12-07,Singapore,Singapore,CCTV False Alarm,Low,Night,13,Yes,No,Yes,False Alarm
INC00215,2025-07-29,Singapore,Singapore,Unauthorized Access,High,Night,9,Yes,Yes,No,Resolved
INC00216,2026-05-25,Dublin,Ireland,Suspicious Person,High,Evening,14,Yes,No,No,Resolved
INC00217,2025-02-16,Tokyo,Japan,Lost Badge,Medium,Day,8,Yes,Yes,No,Confirmed
INC00218,2025-08-24,Berlin,Germany,Suspicious Person,Medium,Day,10,Yes,No,No,Resolved
INC00219,2026-05-18,Tokyo,Japan,Suspicious Person,High,Night,4,Yes,Yes,No,Confirmed
INC00220,2025-03-18,Bangalore,India,CCTV Offline,Medium,Night,13,No,Yes,No,Confirmed
INC00221,2026-06-02,Singapore,Singapore,Unauthorized Access,Medium,Day,10,No,No,No,Resolved
INC00222,2026-06-27,Bangalore,India,Tailgating,High,Day,12,No,Yes,No,Confirmed
INC00223,2026-06-21,Berlin,Germany,Door Forced Open,High,Night,13,Yes,No,No,Confirmed
INC00224,2025-08-20,Tokyo,Japan,Visitor Policy Violation,Medium,Evening,14,Yes,No,Yes,Under Investigation
INC00225,2026-05-03,Bangalore,India,Unauthorized Access,High,Day,12,Yes,Yes,No,Resolved
INC00226,2026-05-02,London,UK,CCTV Offline,Medium,Day,12,Yes,No,No,Confirmed
INC00227,2025-08-01,Bangalore,India,Door Forced Open,Critical,Day,4,No,Yes,Yes,Confirmed
INC00228,2025-12-06,Singapore,Singapore,Suspicious Package,High,Evening,7,Yes,Yes,No,Resolved
INC00229,2026-03-24,London,UK,CCTV Offline,Medium,Day,12,No,Yes,No,Under Investigation
INC00230,2026-04-07,Tokyo,Japan,Tailgating,High,Night,13,Yes,Yes,No,Confirmed
INC00231,2025-03-17,Berlin,Germany,Unauthorized Access,High,Night,14,No,Yes,No,Confirmed
INC00232,2026-04-01,London,UK,Unauthorized Access,Medium,Night,13,Yes,Yes,Yes,Confirmed
INC00233,2025-04-02,Sydney,Australia,CCTV Offline,Medium,Day,10,Yes,Yes,No,Confirmed
INC00234,2025-06-23,Berlin,Germany,Unauthorized Access,Medium,Evening,13,No,Yes,No,Confirmed
INC00235,2026-03-08,Austin,USA,Unauthorized Access,Medium,Day,9,Yes,No,No,Confirmed
INC00236,2025-01-07,Singapore,Singapore,CCTV False Alarm,Low,Day,20,No,Yes,No,False Alarm
INC00237,2025-05-20,Tokyo,Japan,CCTV False Alarm,Low,Day,9,No,Yes,Yes,False Alarm
INC00238,2026-05-18,Berlin,Germany,Badge Misuse,High,Night,18,N/A,Yes,No,Confirmed
INC00239,2025-07-24,Berlin,Germany,Badge Misuse,Medium,Night,6,No,Yes,No,Confirmed
INC00240,2025-03-12,Singapore,Singapore,CCTV False Alarm,Low,Night,8,No,Yes,No,False Alarm
INC00241,2025-06-07,Sydney,Australia,Door Forced Open,Critical,Day,10,Yes,No,No,Confirmed
INC00242,2026-01-04,Berlin,Germany,CCTV Offline,Medium,Night,3,No,No,No,Under Investigation
INC00243,2025-02-15,London,UK,Lost Badge,Medium,Day,5,No,No,No,Resolved
INC00244,2026-06-07,London,UK,Tailgating,Medium,Day,9,No,Yes,No,Confirmed
INC00245,2026-05-28,Tokyo,Japan,Visitor Policy Violation,Medium,Night,22,Yes,Yes,No,Confirmed
INC00246,2025-07-31,Austin,USA,Badge Misuse,High,Day,26,Yes,Yes,Yes,Resolved
INC00247,2025-04-28,Sydney,Australia,Badge Misuse,Medium,Day,16,Yes,No,No,Resolved
INC00248,2026-03-13,Austin,USA,CCTV Offline,Medium,Day,12,N/A,Yes,No,Confirmed
INC00249,2025-07-22,Berlin,Germany,Visitor Policy Violation,Low,Night,6,Yes,Yes,No,Resolved
INC00250,2025-07-11,London,UK,Suspicious Package,Critical,Night,13,Yes,Yes,Yes,Confirmed
INC00251,2026-02-06,Sydney,Australia,CCTV Offline,Medium,Evening,8,No,Yes,No,Resolved
INC00252,2025-11-17,Dublin,Ireland,Suspicious Package,Critical,Evening,9,Yes,Yes,Yes,Confirmed
INC00253,2026-03-10,Berlin,Germany,Visitor Policy Violation,Low,Evening,14,No,Yes,No,Confirmed
INC00254,2026-04-07,Sydney,Australia,Suspicious Person,Medium,Day,18,No,No,No,Confirmed
INC00255,2026-05-19,Singapore,Singapore,Visitor Policy Violation,Medium,Day,3,Yes,Yes,Yes,Resolved
INC00256,2025-10-23,Dublin,Ireland,Tailgating,High,Day,16,Yes,Yes,No,Resolved
INC00257,2026-01-11,London,UK,Suspicious Package,Critical,Day,3,No,Yes,Yes,Confirmed
INC00258,2025-12-23,Singapore,Singapore,Suspicious Person,Medium,Day,9,No,Yes,No,Confirmed
INC00259,2026-03-15,Singapore,Singapore,Lost Badge,Medium,Night,13,Yes,Yes,Yes,Confirmed
INC00260,2025-10-27,Dublin,Ireland,Suspicious Package,Critical,Day,14,Yes,Yes,No,Under Investigation
INC00261,2025-10-11,London,UK,Door Forced Open,Critical,Night,13,No,Yes,No,Confirmed
INC00262,2025-10-03,Berlin,Germany,CCTV False Alarm,Low,Evening,10,No,Yes,Yes,False Alarm
