incident_id,date,site,country,incident_type,severity,shift,response_time_min,badge_access,cctv_alert,visitor,outcome,year,month,month_name,year_month,day_of_week,is_weekend,severity_weight,high_risk_target,is_confirmed,is_unresolved,is_false_alarm,slow_response
INC01368,2025-01-14,Berlin,Germany,CCTV False Alarm,Low,Day,14,Yes,Yes,Yes,False Alarm,2025,1,Jan,2025-01,Tuesday,False,1,0,0,0,1,0
INC00634,2025-01-15,Singapore,Singapore,CCTV Offline,Medium,Day,2,Yes,Yes,No,Confirmed,2025,1,Jan,2025-01,Wednesday,False,2,0,1,0,0,0
INC01295,2025-01-15,Singapore,Singapore,Lost Badge,Medium,Day,16,N/A,No,No,Confirmed,2025,1,Jan,2025-01,Wednesday,False,2,0,1,0,0,1
INC01335,2025-01-15,Tokyo,Japan,Visitor Policy Violation,Low,Day,3,No,Yes,No,Confirmed,2025,1,Jan,2025-01,Wednesday,False,1,0,1,0,0,0
INC00939,2025-01-16,London,UK,Door Forced Open,Critical,Day,18,Yes,No,No,Confirmed,2025,1,Jan,2025-01,Thursday,False,4,1,1,0,0,1
INC01287,2025-01-16,Tokyo,Japan,Unauthorized Access,Medium,Evening,16,No,Yes,No,Under Investigation,2025,1,Jan,2025-01,Thursday,False,2,0,0,1,0,1
INC01740,2025-01-16,Berlin,Germany,Door Forced Open,Critical,Evening,14,Yes,Yes,No,Confirmed,2025,1,Jan,2025-01,Thursday,False,4,1,1,0,0,0
INC00207,2025-01-17,London,UK,Tailgating,High,Evening,12,Yes,Yes,No,Under Investigation,2025,1,Jan,2025-01,Friday,False,3,1,0,1,0,0
INC00906,2025-01-17,Tokyo,Japan,Lost Badge,Medium,Day,6,Yes,No,No,Resolved,2025,1,Jan,2025-01,Friday,False,2,0,0,0,0,0
INC01061,2025-01-17,Singapore,Singapore,Tailgating,High,Night,7,Yes,Yes,No,Confirmed,2025,1,Jan,2025-01,Friday,False,3,1,1,0,0,0
INC01488,2025-01-18,Austin,USA,Door Forced Open,High,Evening,10,Yes,Yes,Yes,Resolved,2025,1,Jan,2025-01,Saturday,True,3,1,0,0,0,0
INC00138,2025-01-19,London,UK,Emergency Exit Misuse,High,Evening,8,Yes,Yes,Yes,Under Investigation,2025,1,Jan,2025-01,Sunday,True,3,1,0,1,0,0
INC01043,2025-01-19,Bangalore,India,Lost Badge,Medium,Evening,10,No,Yes,No,Confirmed,2025,1,Jan,2025-01,Sunday,True,2,0,1,0,0,0
INC01749,2025-01-19,Tokyo,Japan,CCTV False Alarm,Low,Night,13,No,Yes,No,False Alarm,2025,1,Jan,2025-01,Sunday,True,1,0,0,0,1,0
INC01823,2025-01-19,Berlin,Germany,Lost Badge,Medium,Day,19,No,Yes,No,Confirmed,2025,1,Jan,2025-01,Sunday,True,2,0,1,0,0,1
INC01898,2025-01-19,Dublin,Ireland,Suspicious Person,High,Night,7,Yes,No,No,Confirmed,2025,1,Jan,2025-01,Sunday,True,3,1,1,0,0,0
INC00492,2025-01-20,Dublin,Ireland,Emergency Exit Misuse,High,Night,5,Yes,No,No,Under Investigation,2025,1,Jan,2025-01,Monday,False,3,1,0,1,0,0
INC01161,2025-01-20,Dublin,Ireland,Suspicious Person,Medium,Day,13,Yes,Yes,No,Resolved,2025,1,Jan,2025-01,Monday,False,2,0,0,0,0,0
INC00352,2025-01-21,Bangalore,India,Suspicious Package,Critical,Evening,16,Yes,Yes,No,Confirmed,2025,1,Jan,2025-01,Tuesday,False,4,1,1,0,0,1
INC00650,2025-01-21,London,UK,Suspicious Person,Medium,Day,12,Yes,Yes,No,Confirmed,2025,1,Jan,2025-01,Tuesday,False,2,0,1,0,0,0
INC01314,2025-01-21,Tokyo,Japan,CCTV False Alarm,Low,Day,9,N/A,No,No,False Alarm,2025,1,Jan,2025-01,Tuesday,False,1,0,0,0,1,0
INC01633,2025-01-21,Singapore,Singapore,Door Forced Open,Critical,Day,8,Yes,No,No,Confirmed,2025,1,Jan,2025-01,Tuesday,False,4,1,1,0,0,0
INC01973,2025-01-21,Tokyo,Japan,Lost Badge,Low,Evening,11,Yes,Yes,Yes,Confirmed,2025,1,Jan,2025-01,Tuesday,False,1,0,1,0,0,0
INC00606,2025-01-22,Tokyo,Japan,Visitor Policy Violation,Medium,Night,11,Yes,Yes,No,Confirmed,2025,1,Jan,2025-01,Wednesday,False,2,0,1,0,0,0
INC01005,2025-01-22,Sydney,Australia,Unauthorized Access,High,Evening,15,Yes,No,No,Confirmed,2025,1,Jan,2025-01,Wednesday,False,3,1,1,0,0,0
INC01094,2025-01-22,Tokyo,Japan,Door Forced Open,High,Night,22,No,Yes,No,Under Investigation,2025,1,Jan,2025-01,Wednesday,False,3,1,0,1,0,1
INC01972,2025-01-22,Tokyo,Japan,Unauthorized Access,High,Night,14,No,Yes,No,Resolved,2025,1,Jan,2025-01,Wednesday,False,3,1,0,0,0,0
INC00456,2025-01-23,Singapore,Singapore,Badge Misuse,Medium,Day,15,Yes,Yes,No,Resolved,2025,1,Jan,2025-01,Thursday,False,2,0,0,0,0,0
INC00651,2025-01-23,Berlin,Germany,Suspicious Person,Medium,Evening,16,Yes,Yes,No,Confirmed,2025,1,Jan,2025-01,Thursday,False,2,0,1,0,0,1
INC01158,2025-01-23,London,UK,Badge Misuse,High,Day,22,Yes,Yes,No,Resolved,2025,1,Jan,2025-01,Thursday,False,3,1,0,0,0,1
INC01419,2025-01-23,Singapore,Singapore,Emergency Exit Misuse,Medium,Evening,8,Yes,Yes,No,Under Investigation,2025,1,Jan,2025-01,Thursday,False,2,0,0,1,0,0
INC01677,2025-01-23,Austin,USA,Unauthorized Access,Medium,Night,11,No,No,No,Confirmed,2025,1,Jan,2025-01,Thursday,False,2,0,1,0,0,0
INC01537,2025-01-24,Austin,USA,Suspicious Person,Medium,Night,9,Yes,Yes,No,Confirmed,2025,1,Jan,2025-01,Friday,False,2,0,1,0,0,0
INC01742,2025-01-24,London,UK,Suspicious Package,High,Night,15,No,Yes,Yes,Confirmed,2025,1,Jan,2025-01,Friday,False,3,1,1,0,0,0
INC01929,2025-01-24,Bangalore,India,CCTV False Alarm,Low,Night,5,Yes,Yes,No,False Alarm,2025,1,Jan,2025-01,Friday,False,1,0,0,0,1,0
INC01354,2025-01-25,Dublin,Ireland,Lost Badge,Low,Day,6,Yes,No,Yes,Confirmed,2025,1,Jan,2025-01,Saturday,True,1,0,1,0,0,0
INC01389,2025-01-25,London,UK,Unauthorized Access,Medium,Day,7,No,Yes,No,Resolved,2025,1,Jan,2025-01,Saturday,True,2,0,0,0,0,0
INC00377,2025-01-26,Dublin,Ireland,Visitor Policy Violation,Low,Evening,10,Yes,Yes,No,Under Investigation,2025,1,Jan,2025-01,Sunday,True,1,0,0,1,0,0
INC00076,2025-01-27,Bangalore,India,Visitor Policy Violation,Medium,Evening,4,Yes,No,No,Confirmed,2025,1,Jan,2025-01,Monday,False,2,0,1,0,0,0
INC01216,2025-01-27,Austin,USA,Lost Badge,Medium,Day,5,Yes,No,Yes,Confirmed,2025,1,Jan,2025-01,Monday,False,2,0,1,0,0,0
INC00053,2025-01-28,Berlin,Germany,Door Forced Open,Critical,Night,17,No,Yes,No,Under Investigation,2025,1,Jan,2025-01,Tuesday,False,4,1,0,1,0,1
INC01544,2025-01-28,Bangalore,India,Tailgating,Medium,Day,12,N/A,Yes,Yes,Resolved,2025,1,Jan,2025-01,Tuesday,False,2,0,0,0,0,0
INC01548,2025-01-28,Singapore,Singapore,Visitor Policy Violation,Medium,Day,2,Yes,Yes,No,Confirmed,2025,1,Jan,2025-01,Tuesday,False,2,0,1,0,0,0
INC00659,2025-01-29,Berlin,Germany,Lost Badge,Low,Day,12,Yes,Yes,No,Resolved,2025,1,Jan,2025-01,Wednesday,False,1,0,0,0,0,0
INC00807,2025-01-29,Singapore,Singapore,Lost Badge,Low,Day,16,Yes,Yes,Yes,Under Investigation,2025,1,Jan,2025-01,Wednesday,False,1,0,0,1,0,1
INC01184,2025-01-29,Dublin,Ireland,Visitor Policy Violation,Medium,Evening,12,No,Yes,Yes,Confirmed,2025,1,Jan,2025-01,Wednesday,False,2,0,1,0,0,0
INC01285,2025-01-29,Austin,USA,Emergency Exit Misuse,High,Night,16,Yes,No,Yes,Resolved,2025,1,Jan,2025-01,Wednesday,False,3,1,0,0,0,1
INC01385,2025-01-29,London,UK,Tailgating,Medium,Evening,16,Yes,Yes,No,Confirmed,2025,1,Jan,2025-01,Wednesday,False,2,0,1,0,0,1
INC01675,2025-01-29,Berlin,Germany,Tailgating,Medium,Evening,6,Yes,No,No,Confirmed,2025,1,Jan,2025-01,Wednesday,False,2,0,1,0,0,0
INC01853,2025-01-29,Austin,USA,Door Forced Open,Critical,Evening,7,Yes,Yes,No,Confirmed,2025,1,Jan,2025-01,Wednesday,False,4,1,1,0,0,0
INC01933,2025-01-29,London,UK,Visitor Policy Violation,Medium,Night,11,No,Yes,No,Resolved,2025,1,Jan,2025-01,Wednesday,False,2,0,0,0,0,0
INC00522,2025-01-30,London,UK,Emergency Exit Misuse,High,Day,8,No,Yes,No,Under Investigation,2025,1,Jan,2025-01,Thursday,False,3,1,0,1,0,0
INC00660,2025-01-30,Bangalore,India,Lost Badge,Low,Day,21,Yes,No,No,Confirmed,2025,1,Jan,2025-01,Thursday,False,1,0,1,0,0,1
INC01091,2025-01-30,Sydney,Australia,CCTV False Alarm,Low,Evening,10,No,Yes,Yes,False Alarm,2025,1,Jan,2025-01,Thursday,False,1,0,0,0,1,0
INC01706,2025-01-30,Tokyo,Japan,Lost Badge,Low,Night,7,Yes,Yes,No,Confirmed,2025,1,Jan,2025-01,Thursday,False,1,0,1,0,0,0
INC00495,2025-01-31,Dublin,Ireland,Tailgating,High,Night,23,Yes,Yes,No,Confirmed,2025,1,Jan,2025-01,Friday,False,3,1,1,0,0,1
INC01032,2025-01-31,London,UK,CCTV False Alarm,Low,Evening,6,No,Yes,No,False Alarm,2025,1,Jan,2025-01,Friday,False,1,0,0,0,1,0
INC00111,2025-02-01,Bangalore,India,Emergency Exit Misuse,High,Evening,17,Yes,Yes,No,Under Investigation,2025,2,Feb,2025-02,Saturday,True,3,1,0,1,0,1
INC00120,2025-02-01,Berlin,Germany,Unauthorized Access,Medium,Night,7,Yes,Yes,No,Confirmed,2025,2,Feb,2025-02,Saturday,True,2,0,1,0,0,0
INC00525,2025-02-01,Tokyo,Japan,Unauthorized Access,Medium,Day,9,Yes,Yes,No,Confirmed,2025,2,Feb,2025-02,Saturday,True,2,0,1,0,0,0
INC01123,2025-02-01,Dublin,Ireland,Suspicious Person,Medium,Night,19,N/A,Yes,No,Confirmed,2025,2,Feb,2025-02,Saturday,True,2,0,1,0,0,1
INC01175,2025-02-01,Singapore,Singapore,Badge Misuse,Medium,Day,13,Yes,Yes,No,Resolved,2025,2,Feb,2025-02,Saturday,True,2,0,0,0,0,0
INC01523,2025-02-01,Bangalore,India,Emergency Exit Misuse,Medium,Night,14,No,Yes,Yes,Resolved,2025,2,Feb,2025-02,Saturday,True,2,0,0,0,0,0
INC01600,2025-02-01,Tokyo,Japan,Emergency Exit Misuse,High,Evening,7,No,Yes,No,Confirmed,2025,2,Feb,2025-02,Saturday,True,3,1,1,0,0,0
INC00790,2025-02-02,Tokyo,Japan,Suspicious Package,Critical,Evening,16,No,Yes,No,Confirmed,2025,2,Feb,2025-02,Sunday,True,4,1,1,0,0,1
INC00928,2025-02-02,Bangalore,India,Suspicious Person,Medium,Day,4,No,Yes,Yes,Confirmed,2025,2,Feb,2025-02,Sunday,True,2,0,1,0,0,0
INC01135,2025-02-02,Singapore,Singapore,Suspicious Person,Medium,Evening,17,No,Yes,No,Confirmed,2025,2,Feb,2025-02,Sunday,True,2,0,1,0,0,1
INC01381,2025-02-02,Sydney,Australia,Emergency Exit Misuse,Medium,Evening,7,Yes,Yes,No,Resolved,2025,2,Feb,2025-02,Sunday,True,2,0,0,0,0,0
INC01784,2025-02-02,Tokyo,Japan,Unauthorized Access,Medium,Day,6,Yes,Yes,No,Resolved,2025,2,Feb,2025-02,Sunday,True,2,0,0,0,0,0
INC01934,2025-02-02,Bangalore,India,Badge Misuse,Medium,Day,16,Yes,Yes,No,Confirmed,2025,2,Feb,2025-02,Sunday,True,2,0,1,0,0,1
INC02000,2025-02-02,Austin,USA,Tailgating,Medium,Night,14,Yes,Yes,Yes,Under Investigation,2025,2,Feb,2025-02,Sunday,True,2,0,0,1,0,0
INC00310,2025-02-03,Bangalore,India,Suspicious Package,High,Night,18,Yes,Yes,No,Resolved,2025,2,Feb,2025-02,Monday,False,3,1,0,0,0,1
INC00502,2025-02-03,Sydney,Australia,Door Forced Open,High,Day,19,Yes,No,No,Under Investigation,2025,2,Feb,2025-02,Monday,False,3,1,0,1,0,1
INC00557,2025-02-03,Singapore,Singapore,CCTV False Alarm,Low,Night,10,Yes,No,Yes,False Alarm,2025,2,Feb,2025-02,Monday,False,1,0,0,0,1,0
INC00933,2025-02-03,Bangalore,India,Suspicious Person,Medium,Evening,12,Yes,Yes,No,Confirmed,2025,2,Feb,2025-02,Monday,False,2,0,1,0,0,0
INC01480,2025-02-03,Sydney,Australia,CCTV Offline,Medium,Day,16,No,Yes,Yes,Confirmed,2025,2,Feb,2025-02,Monday,False,2,0,1,0,0,1
INC00976,2025-02-04,Tokyo,Japan,Badge Misuse,Medium,Day,15,N/A,Yes,No,Resolved,2025,2,Feb,2025-02,Tuesday,False,2,0,0,0,0,0
INC01122,2025-02-04,Dublin,Ireland,CCTV Offline,Medium,Evening,16,No,Yes,No,Under Investigation,2025,2,Feb,2025-02,Tuesday,False,2,0,0,1,0,1
INC01836,2025-02-05,Berlin,Germany,Visitor Policy Violation,Low,Evening,3,Yes,Yes,Yes,Under Investigation,2025,2,Feb,2025-02,Wednesday,False,1,0,0,1,0,0
INC01941,2025-02-05,Sydney,Australia,Door Forced Open,Critical,Night,18,Yes,Yes,No,Confirmed,2025,2,Feb,2025-02,Wednesday,False,4,1,1,0,0,1
INC00079,2025-02-07,Sydney,Australia,Suspicious Person,High,Night,7,Yes,No,No,Confirmed,2025,2,Feb,2025-02,Friday,False,3,1,1,0,0,0
INC00087,2025-02-07,Berlin,Germany,Visitor Policy Violation,Low,Evening,21,Yes,Yes,No,Confirmed,2025,2,Feb,2025-02,Friday,False,1,0,1,0,0,1
INC00192,2025-02-07,Austin,USA,Visitor Policy Violation,Low,Night,10,N/A,Yes,No,Under Investigation,2025,2,Feb,2025-02,Friday,False,1,0,0,1,0,0
INC00814,2025-02-08,Dublin,Ireland,Lost Badge,Low,Day,19,Yes,Yes,No,Confirmed,2025,2,Feb,2025-02,Saturday,True,1,0,1,0,0,1
INC01592,2025-02-08,Bangalore,India,Door Forced Open,High,Night,9,No,Yes,No,Resolved,2025,2,Feb,2025-02,Saturday,True,3,1,0,0,0,0
INC01087,2025-02-09,London,UK,CCTV False Alarm,Low,Night,8,Yes,Yes,No,False Alarm,2025,2,Feb,2025-02,Sunday,True,1,0,0,0,1,0
INC01157,2025-02-09,Sydney,Australia,Tailgating,Medium,Day,20,No,No,No,Under Investigation,2025,2,Feb,2025-02,Sunday,True,2,0,0,1,0,1
INC01598,2025-02-09,Austin,USA,Badge Misuse,Medium,Evening,6,No,Yes,No,Confirmed,2025,2,Feb,2025-02,Sunday,True,2,0,1,0,0,0
INC00815,2025-02-10,Tokyo,Japan,Door Forced Open,Critical,Day,2,No,Yes,Yes,Confirmed,2025,2,Feb,2025-02,Monday,False,4,1,1,0,0,0
INC01464,2025-02-10,Berlin,Germany,CCTV Offline,Medium,Day,14,Yes,Yes,No,Confirmed,2025,2,Feb,2025-02,Monday,False,2,0,1,0,0,0
INC01591,2025-02-10,Tokyo,Japan,Suspicious Package,High,Night,6,No,Yes,No,Confirmed,2025,2,Feb,2025-02,Monday,False,3,1,1,0,0,0
INC00637,2025-02-11,Austin,USA,CCTV False Alarm,Low,Night,17,Yes,Yes,No,False Alarm,2025,2,Feb,2025-02,Tuesday,False,1,0,0,0,1,1
INC01356,2025-02-11,Sydney,Australia,Tailgating,High,Evening,11,Yes,Yes,Yes,Confirmed,2025,2,Feb,2025-02,Tuesday,False,3,1,1,0,0,0
INC01492,2025-02-11,London,UK,Emergency Exit Misuse,Medium,Day,12,Yes,Yes,Yes,Confirmed,2025,2,Feb,2025-02,Tuesday,False,2,0,1,0,0,0
INC01803,2025-02-11,Sydney,Australia,Suspicious Person,High,Night,13,No,Yes,Yes,Resolved,2025,2,Feb,2025-02,Tuesday,False,3,1,0,0,0,0
INC01890,2025-02-11,London,UK,Door Forced Open,High,Day,9,No,Yes,No,Confirmed,2025,2,Feb,2025-02,Tuesday,False,3,1,1,0,0,0
INC00132,2025-02-12,London,UK,Suspicious Package,High,Evening,13,Yes,No,No,Confirmed,2025,2,Feb,2025-02,Wednesday,False,3,1,1,0,0,0
INC00561,2025-02-12,Berlin,Germany,Emergency Exit Misuse,High,Night,17,Yes,No,No,Resolved,2025,2,Feb,2025-02,Wednesday,False,3,1,0,0,0,1
INC01284,2025-02-12,Dublin,Ireland,Emergency Exit Misuse,Medium,Evening,12,Yes,Yes,No,Resolved,2025,2,Feb,2025-02,Wednesday,False,2,0,0,0,0,0
INC01695,2025-02-12,London,UK,CCTV Offline,Medium,Night,2,No,No,No,Confirmed,2025,2,Feb,2025-02,Wednesday,False,2,0,1,0,0,0
INC01720,2025-02-12,Bangalore,India,Unauthorized Access,High,Night,3,Yes,Yes,Yes,Confirmed,2025,2,Feb,2025-02,Wednesday,False,3,1,1,0,0,0
INC00125,2025-02-13,Singapore,Singapore,CCTV Offline,Medium,Day,6,Yes,Yes,No,Confirmed,2025,2,Feb,2025-02,Thursday,False,2,0,1,0,0,0
INC00505,2025-02-13,Bangalore,India,CCTV Offline,Medium,Evening,14,Yes,No,Yes,Confirmed,2025,2,Feb,2025-02,Thursday,False,2,0,1,0,0,0
INC00770,2025-02-13,Austin,USA,Unauthorized Access,High,Night,9,Yes,No,No,Resolved,2025,2,Feb,2025-02,Thursday,False,3,1,0,0,0,0
INC01097,2025-02-13,London,UK,CCTV Offline,Medium,Night,14,Yes,Yes,Yes,Confirmed,2025,2,Feb,2025-02,Thursday,False,2,0,1,0,0,0
INC01536,2025-02-13,Tokyo,Japan,Badge Misuse,High,Night,17,Yes,Yes,No,Confirmed,2025,2,Feb,2025-02,Thursday,False,3,1,1,0,0,1
INC01550,2025-02-13,Dublin,Ireland,Door Forced Open,Critical,Night,16,No,Yes,No,Confirmed,2025,2,Feb,2025-02,Thursday,False,4,1,1,0,0,1
INC01661,2025-02-13,Bangalore,India,CCTV False Alarm,Low,Day,10,Yes,Yes,No,False Alarm,2025,2,Feb,2025-02,Thursday,False,1,0,0,0,1,0
INC00586,2025-02-14,Sydney,Australia,CCTV False Alarm,Low,Day,20,Yes,Yes,Yes,False Alarm,2025,2,Feb,2025-02,Friday,False,1,0,0,0,1,1
INC00690,2025-02-14,Dublin,Ireland,Suspicious Package,Critical,Day,9,No,No,No,Confirmed,2025,2,Feb,2025-02,Friday,False,4,1,1,0,0,0
INC00799,2025-02-14,Austin,USA,Suspicious Package,Critical,Day,12,Yes,Yes,No,Under Investigation,2025,2,Feb,2025-02,Friday,False,4,1,0,1,0,0
INC01924,2025-02-14,Sydney,Australia,CCTV False Alarm,Low,Day,11,Yes,Yes,No,False Alarm,2025,2,Feb,2025-02,Friday,False,1,0,0,0,1,0
INC00243,2025-02-15,London,UK,Lost Badge,Medium,Day,5,No,No,No,Resolved,2025,2,Feb,2025-02,Saturday,True,2,0,0,0,0,0
